fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2522-001.tif;701-151-005-2522-003.tif;701-151-005-2522-004.tif;701-151-005-2522-005.tif,701-151-005-2522-001,Polish Troops Marching (Great Britain) [1],,,Author,Marching drills;World War (1939-1945);Soldiers;Military uniforms;Firearms;Infantry,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Polish Government Information Center, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor",,The photos show soldiers marching in Great Britain. The soldiers are holding their rifles as they march. The soldiers all walk down a road.,"Boguslawski pplk. dypl. - Lt. Col.;Numbers on the back: 17295-9, 647, R674, 17945-5, 16657-2, 13., 814, 1, N515;28 OCT 1942 (Censorship Date);-5 AUG 1942 (Censorship Date);Words on the back: Infantry",still image,photographs,black-and-white photographs,17x12 cm; 9x12 cm; 21x26 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2526-007.tif;701-151-005-2526-008.tif;701-151-005-2526-009.tif;701-151-005-2526-011.tif,701-151-005-2526-007,Winter Exercises of the Polish Army in the United Kingdom (Scotland) (4),,,Author,"World War (1939-1945);Communications, Military;Soldiers;Physical education and training, Military;Military uniforms;Firearms;Skis and skiing;Winter;Parachute troops;Artillery drill and tactics",,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad,",,Photo 007 shows military communications at work. The telephonist of communications is seen in photo 008. Soldiers have their rifles prepped in prone position in photo 009. Photo 011 shows the Polish parachute ski troops in Scotland.,"No. 610, No. 611, No. 64;Censorship No. 184909, Censorship No. 184916, Censorship No. 189957;Numbers on the back: E-5-10, 15816-1, 5, Halftone 2, screen 55, 63, proofs 4, 9 mn;No Russo",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm; 10x13 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2526-001.tif;701-151-005-2526-010.tif,701-151-005-2526-001,Winter Exercises of the Polish Army in the United Kingdom (Scotland) (3),,,Author,"World War (1939-1945);Soldiers;Forests and forestry;Physical education and training, Military;Skis and skiing;Military uniforms;Rifles;Winter",,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Polish War Relief, Polish American Council of the United States of America, Republic of Poland, Ministry of Information, Photo Service",,Photo 001 shows the A.A. machine gun team on the lookout in order to protect the artillery battery against air attack. Polish parachute ski troops march in Scotland in photo 010.,"Censorship No. 184908, Censorship No. 189954;No. 613, No. 63;Numbers on the back: 28",still image,photographs,black-and-white photographs,12x17 cm; 17x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2526-002.tif;701-151-005-2526-003.tif;701-151-005-2526-004.tif;701-151-005-2526-005.tif;701-151-005-2526-006.tif,701-151-005-2526-002,Winter Exercises of the Polish Army in the United Kingdom (Scotland) (2),,,Author,"World War (1939-1945);Soldiers;Motorcycles;Physical education and training, Military;Military uniforms;Tractors;Artillery drill and tactics;Winter",,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service, Republic of Poland, Ministry of Information, Photo Service",,"The photos show the vehicles used during winter training. Photos 002 and 003 show soldiers driving a tractor with guns into position. Soldiers are driving cars and riding on motorcycles during winter training in photo 004. In photo 005, the gun team drags up the gun to couple it up with the tractor. In photo 006, soldiers are loading up the gun.","No. 608, No. 607, No. 655, No. 609, No. 612;Censorship No. 184906, Censorship No. 184912, Censorship No. 196278, Censorship No. 184907, Censorship No. 184914;Numbers on the back: 16, 9 1/8 x 11, 4741, -7, 5(underlined);Words on the back: FLUSH TOP, FLUSH LEFT;""POLISH MILITARY TRANSPORT"", POLISH WAR RELIEF IS ONE OF 10 UNITED NATIONS MERCY FUNDS SUPPORTED BY ---- lENAWEE COUNTY PATRIOTIC LEAGUE, GIVE TO THE WAR CHEST, OCT. 26 ---- NOV. 12, LCPL series C16",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm; 17x13 cm; 13x17 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2526-012.tif;701-151-005-2526-013.tif,701-151-005-2526-012,Winter Exercises of the Polish Army in the United Kingdom (Scotland) (1),,,Author,World War (1939-1945);Soldiers;Soldiers--Medical care;Military uniforms;Winter;Drill and minor tactics,,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,Medical attention during winter training. Photo 012 shows moving soldiers on wheeled gurneys. Medics bandage up soldiers in photo 013.,"Censorship No. 196276, Censorship No. 196275;No. 656, No. 657",still image,photographs,black-and-white photographs,17x12 cm; 17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2520-001.tif;701-151-005-2520-005.tif;701-151-005-2520-007.tif;701-151-005-2520-015.tif,701-151-005-2520-001,The Arrival of Polish Troops in England (4),,,Author,World War (1939-1945);Soldiers;Automobiles;Luggage;Military uniforms,,Poland. Polskie Siły Zbrojne,England,1939/1945,,,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad,",,"Photos 001 and 007 show a crowd of Polish soldiers arriving in Great Britain. In photo 005, the Polish soldiers from Russia are on their way to their quarters somewhere in England. Soldiers stand with their belongings in photo 15.","Boguslawski pplk. dypl. - Lt. Col.;No. 157, No. 685, No. 690;20 DEC 1942 (Censorship Date);19 JUN 1942 (Censorship Date);Numbers on the back: 523, 927, 7., 3., 8., w.7., 5;Censorship No. 203401, Censorship No. 203400, Censorship No. 12799-;BM",still image,photographs,black-and-white photographs,9x12 cm; 10x13 cm; 13x10 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2520-002.tif;701-151-005-2520-003.tif;701-151-005-2520-004.tif,701-151-005-2520-002,The Arrival of Polish Troops in England (3),,,Author,World War (1939-1945);Soldiers;Forests and forestry;Tents;Luggage;Military uniforms,,Poland. Polskie Siły Zbrojne,England,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"The Polish soldiers released from Soviet camps. In photo 002, the Polish soldiers are standing with American soldiers who helped release them. Photos 003 and 004 shows the arrival of the Polish soldiers to Scotland. They are sitting in the middle of a forest with their belongings.","The Polish Review N. York 15 III 1943;Words on the back: Velox, arrival;Numbers on the back: 18 868",still image,photographs,black-and-white photographs,10x13 cm; 7x10 cm; 7x10 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2520-008.tif;701-151-005-2520-009.tif;701-151-005-2520-011.tif;701-151-005-2520-012.tif,701-151-005-2520-008,The Arrival of Polish Troops in England (2),,,Author,World War (1939-1945);Soldiers;Military uniforms,,Poland. Polskie Siły Zbrojne,England,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"Polish soldiers arrive in Great Britain. Photos 008 and 011 show Polish soldiers from Russia en route to their quarters in England. Photo 009 shows the youngest ""17 year old"" relating his impressions of the journey from Russia to England. In photo 012, Polish soldiers from Russia leave their boat in one of England's ports.","No. 154, No. 155, No. 158, No. 159;Censorship No. 203401, Censorship No. 203399, Censorship No. 203392, Censorship No. 203398;Numbers on the back: 155, 5",still image,photographs,black-and-white photographs,17x13 cm; 17x13 cm; 12x17 cm; 17x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2520-006.tif;701-151-005-2520-010.tif;701-151-005-2520-013.tif;701-151-005-2520-014.tif,701-151-005-2520-006,The Arrival of Polish Troops in England (1),,,Author,World War (1939-1945);Soldiers;Harbors;Ships;Military uniforms;Rifles,,Poland. Polskie Siły Zbrojne,England,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor",,"Polish soldiers from Russia arrive at one of the British ports. Photo 006 shows a collection of soldiers on the English coast. In picture 010, Russian soldiers arrive at the port. Photo 013 shows the landing of soldiers in the UK. Four soldiers stand at the exit of the ship in photo 014.","Numbers on the back: 5, 5 (underlined), 523, 16260-13, ic. 7;19 JUN 1942 (Censorship Date);Boguslawski pplk. dypl. - Lt. Col.;Words/letters on the back: Rutto, H.;No. 684;Censorship No. 203394",still image,photographs,black-and-white photographs,13x17 cm; 13x11 cm; 10x13 cm; 13x10 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2529-001.tif;701-151-005-2529-002.tif;701-151-005-2529-003.tif;701-151-005-2529-004.tif;701-151-005-2529-005.tif,701-151-005-2529-001,Fortification Construction on the Scottish Coast,,,Author,Fortification;Fortification--Design and construction;World War (1939-1945);Soldiers;Coasts;Sand,,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,,,"Soldiers build fortifications on the Scottish coast. Photos 001 and 004 show the soldiers carrying wood up a hill. In photo 002, the men are digging a trench for the fortifications. Photo 003 shows the soldiers building parts of the fortification. The soldiers are standing next to the newly built fortifications in photo 005.","Numbers on the back: 14959-8, 15814, H5669, H5494, B26, H5667, H5668;""OFFICIAL WAR OFFICE PHOTOGRAPH RELEASED .../.../19.., (Sgd) L.H.O JOSEPHS FOR D.P.R. AND D.M.O., P.R.2 WAR OFFICE""",still image,photographs,black-and-white photographs,16x18 cm; 15x20 cm; 16x17 cm; 16x18 cm; 18x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
